Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Philippine Airlines,2024-01-05,Manila (MNL),Cebu (CEB),MNL-CEB,08:15,09:45,1h 30m,0,No info,4500
Cebu Pacific,2024-01-08,Manila (MNL),Davao (DVO),MNL-DVO,06:30,08:45,2h 15m,0,No info,5200
AirAsia Philippines,2024-01-12,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,11:20,12:50,1h 30m,0,No info,3800
Philippine Airlines,2024-01-15,Manila (MNL),Iloilo (ILO),MNL-ILO,14:45,16:00,1h 15m,0,No info,4200
Cebu Pacific,2024-01-18,Davao (DVO),Cagayan de Oro (CGY),DVO-CGY,09:30,10:15,0h 45m,0,No info,3200
Philippine Airlines,2024-01-22,Manila (MNL),Kalibo (KLO),MNL-KLO,07:15,08:30,1h 15m,0,No info,4100
AirAsia Philippines,2024-01-25,Manila (MNL),Tacloban (TAC),MNL-TAC,16:20,17:40,1h 20m,0,No info,3900
Cebu Pacific,2024-01-28,Cebu (CEB),Davao (DVO),CEB-DVO,13:10,14:25,1h 15m,0,No info,3700
Philippine Airlines,2024-02-02,Manila (MNL),Bacolod (BCD),MNL-BCD,10:30,11:45,1h 15m,0,No info,4300
Cebu Pacific,2024-02-05,Manila (MNL),Legazpi (LGP),MNL-LGP,12:15,13:15,1h 00m,0,No info,3500
Philippine Airlines,2024-02-10,Davao (DVO),Manila (MNL),DVO-MNL,18:45,21:00,2h 15m,0,No info,5100
AirAsia Philippines,2024-02-14,Manila (MNL),Cebu (CEB),MNL-CEB,20:15,21:45,1h 30m,0,In-flight meal,4700
Cebu Pacific,2024-02-18,Cebu (CEB),Iloilo (ILO),CEB-ILO,08:40,09:25,0h 45m,0,No info,2800
Philippine Airlines,2024-02-22,Manila (MNL),Davao (DVO),MNL-DVO,05:45,08:00,2h 15m,0,No info,5300
AirAsia Philippines,2024-02-25,Manila (MNL),Puerto Princesa (PPS),MNL-PPS,09:30,11:00,1h 30m,0,No info,4400
Philippine Airlines,2024-03-01,Manila (MNL),General Santos (GES),MNL-GES,14:15,16:05,1h 50m,0,No info,4900
Cebu Pacific,2024-03-05,Cebu (CEB),Clark (CRK),CEB-CRK,11:30,12:45,1h 15m,0,No info,3600
Philippine Airlines,2024-03-10,Manila (MNL),Cebu (CEB),MNL-CEB,19:00,20:30,1h 30m,0,In-flight meal,4600
AirAsia Philippines,2024-03-15,Davao (DVO),Cebu (CEB),DVO-CEB,07:20,08:35,1h 15m,0,No info,3700
Cebu Pacific,2024-03-20,Manila (MNL),Iloilo (ILO),MNL-ILO,13:45,15:00,1h 15m,0,No info,4100
Philippine Airlines,2024-03-25,Manila (MNL),Caticlan (MPH),MNL-MPH,06:00,07:10,1h 10m,0,No info,4200
Cebu Pacific,2024-04-02,Manila (MNL),Davao (DVO),MNL-DVO,16:30,18:45,2h 15m,0,No info,5100
AirAsia Philippines,2024-04-08,Cebu (CEB),Puerto Princesa (PPS),CEB-PPS,10:10,11:40,1h 30m,0,No info,3800
Philippine Airlines,2024-04-12,Manila (MNL),Tacloban (TAC),MNL-TAC,12:15,13:35,1h 20m,0,No info,4000
